abbr,state,asian_ratio,white_ratio,depression,diabetes,arthritis
AL,Alabama,1.21,68.47,21.3,12.9,34.0
AK,Alaska,5.96,65.64,15.6,7.4,21.9
AZ,Arizona,3.15,78.34,18.7,10.1,24.9
AR,Arkansas,1.23,78.29,21.5,12.8,30.4
CA,California,13.91,61.37,13.3,10.3,20.4
CO,Colorado,2.95,84.4,17.0,7.3,22.8
CT,Connecticut,4.21,76.85,18.3,9.2,24.0
DE,Delaware,3.87,69.21,18.3,11.1,26.6
DC,District of Columbia,3.78,40.23,18.1,8.4,19.2
FL,Florida,2.64,75.97,16.2,11.2,27.0
GA,Georgia,3.68,59.86,18.3,11.6,25.2
HI,Hawaii,37.63,25.41,10.7,9.8,20.7
ID,Idaho,1.47,91.66,19.5,7.6,24.8
IL,Illinois,5.15,72.13,16.7,10.1,25.1
IN,Indiana,1.97,84.09,20.7,10.7,29.2
IA,Iowa,2.2,91.33,18.7,9.5,26.0
KS,Kansas,2.63,84.92,18.6,10.3,25.4
KY,Kentucky,1.24,87.42,23.9,12.5,33.9
LA,Louisiana,1.69,62.78,18.7,11.3,27.1
ME,Maine,1.09,94.75,23.7,9.5,31.4
MD,Maryland,6.19,57.44,15.9,10.1,25.6
MA,Massachusetts,6.12,79.27,21.7,9.7,27.3
MI,Michigan,2.84,78.88,20.5,10.4,31.9
MN,Minnesota,4.59,84.42,18.2,8.1,21.8
MS,Mississippi,0.8,58.82,19.9,13.0,29.2
MO,Missouri,1.77,82.3,21.7,11.1,28.0
MT,Montana,0.8,89.35,20.4,8.8,26.0
NE,Nebraska,2.07,88.28,17.7,9.2,24.6
NV,Nevada,7.81,68.02,15.6,9.6,23.1
NH,New Hampshire,2.56,93.41,21.0,9.2,27.2
NJ,New Jersey,9.26,67.73,13.4,9.7,22.7
NM,New Mexico,1.51,73.14,21.1,11.5,25.8
NY,New York,8.17,63.98,15.9,10.0,24.2
NC,North Carolina,2.48,69.08,19.0,10.8,27.7
ND,North Dakota,1.2,88.49,17.3,8.6,25.0
OH,Ohio,1.94,82.13,20.9,11.7,30.8
OK,Oklahoma,1.98,72.91,21.8,12.0,27.5
OR,Oregon,4.03,84.59,24.0,9.0,26.1
PA,Pennsylvania,3.12,81.4,19.7,11.2,30.3
RI,Rhode Island,3.38,81.34,20.6,9.5,27.4
SC,South Carolina,1.43,67.34,19.9,12.0,30.0
SD,South Dakota,1.29,84.95,16.6,9.1,26.0
TN,Tennessee,1.57,77.63,21.4,13.0,32.6
TX,Texas,4.31,75.18,14.6,11.0,19.5
UT,Utah,2.24,87.26,20.7,7.1,20.1
VT,Vermont,1.59,94.46,21.8,7.9,28.0
VA,Virginia,6.14,68.93,17.4,9.7,26.2
WA,Washington,7.85,77.67,21.6,8.9,25.7
WV,West Virginia,0.63,93.58,23.6,14.1,40.0
WI,Wisconsin,2.61,86.26,17.0,9.0,25.7
WY,Wyoming,0.95,91.02,19.0,8.4,25.6
PR,Puerto Rico,0.25,71.03,18.5,15.7,24.6
